x,y,r1r2 ZNCC,r2_x,r2_y,ref_x,ref_y,ref_z
1745,250,0.99809015,1695.083496,206.7873077,34.05727005,-39.82929993,638.4630127
1750,250,0.99664116,1700.114136,206.9718781,34.3523407,-39.82474518,638.3860474
1755,250,0.95386416,1705.403076,207.1296539,34.64524841,-39.81861115,638.2698364
1760,250,0.59672475,1710.342529,204.9829407,34.93863297,-39.88483047,638.2050171
1765,250,0.60790515,1719.478882,211.1259155,35.204422,-39.66326904,637.5029297
1770,250,0.41435045,1753.141113,207.8099976,35.25370026,-39.49905014,633.0830078
1775,250,0.83945429,1754.428101,208.0685883,35.57782364,-39.52661133,633.5691528
1780,250,0.86730134,1760.481567,208.741272,35.8620224,-39.49798203,633.3366089
1785,250,0.99314362,1767.927612,208.9447784,36.133564,-39.47056961,632.8937988
1790,250,0.99283302,1774.735107,209.1177826,36.4102211,-39.44992065,632.5473023
1795,250,0.99460828,1781.210693,209.3314362,36.6894455,-39.43108749,632.2504273
1800,250,0.99344635,1787.43103,209.6089935,36.97073364,-39.41268921,631.9921265
1805,250,0.99565613,1793.556763,209.8830414,37.25257874,-39.39524841,631.7476807
1810,250,0.99601483,1799.510376,210.0597839,37.53560638,-39.38227081,631.5288696
1815,250,0.99653828,1805.215576,210.1976929,37.8206749,-39.37270355,631.3473511
1820,250,0.99672115,1810.898438,210.550415,38.10590363,-39.35691452,631.1688232
1825,250,0.99649173,1816.316162,210.7156067,38.39325333,-39.34914017,631.0299072
1830,250,0.99624592,1821.653809,210.8362427,38.68114471,-39.34341049,630.902771
1835,250,0.99622518,1826.839844,211.0735779,38.97040939,-39.33555984,630.7980957
1840,250,0.99621242,1831.961792,211.3191834,39.26009369,-39.32802582,630.7026978
1845,250,0.99632418,1836.981445,211.5145111,39.55068588,-39.32291794,630.6224976
1850,250,0.99569243,1841.92688,211.6940613,39.84179306,-39.31893158,630.5531006
1855,250,0.99517792,1846.779785,211.8721619,40.13380432,-39.31583023,630.4974976
1860,250,0.99581295,1851.564697,212.0135498,40.42628479,-39.31440735,630.4515991
1865,250,0.99515712,1856.176514,212.2494965,40.72047806,-39.3117485,630.4315796
1870,250,0.99625164,1860.709717,212.3957825,41.01535416,-39.31246185,630.4230957
1875,250,0.99600106,1865.132935,212.5692139,41.31122589,-39.31333923,630.4307251
1880,250,0.99469936,1869.461792,212.7843628,41.6081543,-39.31383514,630.4523926
1885,250,0.9945991,1873.788696,212.8817291,41.90498352,-39.31784439,630.4743042
1890,250,0.99374175,1877.864502,213.0619354,42.20441055,-39.3216629,630.5334473
1895,250,0.99266559,1881.859009,213.3393402,42.50479889,-39.32331467,630.6047974
1900,250,0.99384743,1885.858154,213.5662231,42.80518723,-39.32643127,630.6754761
1905,250,0.99408412,1889.618042,213.773346,43.10801697,-39.33230209,630.7816773
1910,250,0.99391592,1893.330933,213.9740143,43.41137695,-39.33877182,630.8947754
1915,250,0.99369413,1896.915283,214.0835266,43.71615982,-39.34915543,631.0272827
1920,250,0.99198937,1900.297729,214.2823486,44.02318954,-39.35870361,631.1898804
1925,250,0.48928678,1863.756836,207.1318512,44.75039291,-39.96036911,637.4307251
1930,250,0.40390038,1868.372437,207.1916962,45.04732895,-39.96283722,637.407898
1935,250,0.29237479,1985.309692,212.3740997,44.15032959,-38.7828331,620.5437622
1940,250,0.43143111,1878.203735,209.7082062,45.63715744,-39.88986588,637.2715454
1945,250,0.32336986,1979.585938,216.2839813,44.88981247,-38.80920029,622.6881714
